Index,SepalLength,SepalWidth,PetalLength,PetalWidth,Species
75,6.6,3,4.4,1.4,Iris versicolor
76,6.8,2.8,4.8,1.4,Iris versicolor
77,6.7,3,5,1.7,Iris versicolor
78,6,2.9,4.5,1.5,Iris versicolor
79,5.7,2.6,3.5,1,Iris versicolor
80,5.5,2.4,3.8,1.1,Iris versicolor
81,5.5,2.4,3.7,1,Iris versicolor
82,5.8,2.7,3.9,1.2,Iris versicolor
83,6,2.7,5.1,1.6,Iris versicolor
84,5.4,3,4.5,1.5,Iris versicolor
85,6,3.4,4.5,1.6,Iris versicolor
86,6.7,3.1,4.7,1.5,Iris versicolor
87,6.3,2.3,4.4,1.3,Iris versicolor
88,5.6,3,4.1,1.3,Iris versicolor
89,5.5,2.5,4,1.3,Iris versicolor
90,5.5,2.6,4.4,1.2,Iris versicolor
91,6.1,3,4.6,1.4,Iris versicolor
92,5.8,2.6,4,1.2,Iris versicolor
93,5,2.3,3.3,1,Iris versicolor
94,5.6,2.7,4.2,1.3,Iris versicolor
95,5.7,3,4.2,1.2,Iris versicolor
96,5.7,2.9,4.2,1.3,Iris versicolor
97,6.2,2.9,4.3,1.3,Iris versicolor
98,5.1,2.5,3,1.1,Iris versicolor
99,5.7,2.8,4.1,1.3,Iris versicolor
100,6.3,3.3,6,2.5,Iris virginica
101,5.8,2.7,5.1,1.9,Iris virginica
102,7.1,3,5.9,2.1,Iris virginica
103,6.3,2.9,5.6,1.8,Iris virginica
104,6.5,3,5.8,2.2,Iris virginica
105,7.6,3,6.6,2.1,Iris virginica
106,4.9,2.5,4.5,1.7,Iris virginica
107,7.3,2.9,6.3,1.8,Iris virginica
108,6.7,2.5,5.8,1.8,Iris virginica
109,7.2,3.6,6.1,2.5,Iris virginica
110,6.5,3.2,5.1,2,Iris virginica
111,6.4,2.7,5.3,1.9,Iris virginica
112,6.8,3,5.5,2.1,Iris virginica
113,5.7,2.5,5,2,Iris virginica
114,5.8,2.8,5.1,2.4,Iris virginica
115,6.4,3.2,5.3,2.3,Iris virginica
116,6.5,3,5.5,1.8,Iris virginica
117,7.7,3.8,6.7,2.2,Iris virginica
118,7.7,2.6,6.9,2.3,Iris virginica
119,6,2.2,5,1.5,Iris virginica
120,6.9,3.2,5.7,2.3,Iris virginica
121,5.6,2.8,4.9,2,Iris virginica
122,7.7,2.8,6.7,2,Iris virginica
123,6.3,2.7,4.9,1.8,Iris virginica
124,6.7,3.3,5.7,2.1,Iris virginica
125,7.2,3.2,6,1.8,Iris virginica
126,6.2,2.8,4.8,1.8,Iris virginica
127,6.1,3,4.9,1.8,Iris virginica
128,6.4,2.8,5.6,2.1,Iris virginica
129,7.2,3,5.8,1.6,Iris virginica
130,7.4,2.8,6.1,1.9,Iris virginica
131,7.9,3.8,6.4,2,Iris virginica
132,6.4,2.8,5.6,2.2,Iris virginica
133,6.3,2.8,5.1,1.5,Iris virginica
134,6.1,2.6,5.6,1.4,Iris virginica
135,7.7,3,6.1,2.3,Iris virginica
136,6.3,3.4,5.6,2.4,Iris virginica
137,6.4,3.1,5.5,1.8,Iris virginica
138,6,3,4.8,1.8,Iris virginica
139,6.9,3.1,5.4,2.1,Iris virginica
140,6.7,3.1,5.6,2.4,Iris virginica
141,6.9,3.1,5.1,2.3,Iris virginica
142,5.8,2.7,5.1,1.9,Iris virginica
143,6.8,3.2,5.9,2.3,Iris virginica
144,6.7,3.3,5.7,2.5,Iris virginica
145,6.7,3,5.2,2.3,Iris virginica
146,6.3,2.5,5,1.9,Iris virginica
147,6.5,3,5.2,2,Iris virginica
148,6.2,3.4,5.4,2.3,Iris virginica
149,5.9,3,5.1,1.8,Iris virginica
